hemma,borta,hemmamal,bortamal,publik,domare,datum,sasong
Örgryte,Hammarby,5,1,4 000,"Carl Olsson, Göteborg",1924-08-03,1924_1925
Norrköping,Landskrona,0,1,1 500,"Ivar Andersson, Norrköping",1924-08-03,1924_1925
IFK Malmö,Göteborg,1,1,3 276,"Johan Nilsson, Malmö",1924-08-03,1924_1925
Helsingborg,Gais,1,2,3 000,"Carl Christiansson, Helsingborg",1924-08-03,1924_1925
IFK Eskilstuna,Sleipner,1,3,700,"Oscar Ternström, Eskilstuna",1924-08-03,1924_1925
AIK,Västerås IK,5,1,2 000,"Arne Fredriksson, Stockholm",1924-08-03,1924_1925
Göteborg,Gais,1,3,3 600,"Sigfrid Benzer, Halmstad",1924-08-08,1924_1925
Västerås IK,IFK Eskilstuna,0,1,600,"Bertil Norén, Västerås",1924-08-10,1924_1925
Sleipner,Örgryte,0,1,2 280,"Ernfrid Byman, Norrköping",1924-08-10,1924_1925
Landskrona,Göteborg,0,4,1 000,"Gustaf Pettersson, Stockholm",1924-08-10,1924_1925
Helsingborg,IFK Malmö,4,2,2 400,"Carl Christiansson, Helsingborg",1924-08-10,1924_1925
Hammarby,AIK,1,7,2 000,"Axel Bergqvist, Stockholm",1924-08-10,1924_1925
Gais,Norrköping,3,2,3 000,"Erik W. Olsson, Falkenberg",1924-08-10,1924_1925
Norrköping,Sleipner,3,2,2 300,"Theodor Malm, Stockholm",1924-08-15,1924_1925
Gais,Örgryte,1,1,5 500,"Erik Ohlsson, Malmö",1924-08-15,1924_1925
IFK Malmö,Örgryte,0,1,2 378,"Johan Nilsson, Malmö",1924-08-17,1924_1925
Landskrona,Helsingborg,1,1,2 000,"Ivar Carlesson, Stockholm",1924-08-17,1924_1925
Göteborg,Västerås IK,8,1,650,"David Andersson, Göteborg",1924-08-17,1924_1925
IFK Eskilstuna,Hammarby,7,2,700,"Bertil Norén, Västerås",1924-08-17,1924_1925
AIK,Sleipner,3,2,3 800,"Oscar Gustafsson, Stockholm",1924-08-17,1924_1925
Göteborg,Örgryte,2,2,6 010,"Anton Lindbergh, Vaggeryd",1924-08-22,1924_1925
Sleipner,Gais,1,2,2 100,"Ernfrid Byman, Norrköping",1924-08-24,1924_1925
IFK Malmö,Västerås IK,3,3,1 764,"Gustaf Johansson, Malmö",1924-08-24,1924_1925
Helsingborg,IFK Eskilstuna,3,2,2 500,"Carl Christiansson, Helsingborg",1924-08-24,1924_1925
Hammarby,Landskrona,3,3,3 000,"Axel Bergqvist, Stockholm",1924-08-24,1924_1925
Göteborg,AIK,1,0,7 000,"David Andersson, Göteborg",1924-08-24,1924_1925
Örgryte,AIK,5,1,8 023,"Erik W. Olsson, Falkenberg",1924-08-31,1924_1925
Norrköping,IFK Eskilstuna,2,1,1 750,"Ernfrid Byman, Norrköping",1924-08-31,1924_1925
Hammarby,Sleipner,3,3,1 500,"Thure Håkansson, Stockholm",1924-08-31,1924_1925
Västerås IK,AIK,1,3,1 800,"Hjalmar Lundgren, Eskilstuna",1924-09-07,1924_1925
Sleipner,IFK Eskilstuna,2,1,1 400,"Arthur Björklund, Norrköping",1924-09-07,1924_1925
Landskrona,Örgryte,0,5,2 000,"Carl Christiansson, Helsingborg",1924-09-07,1924_1925
Hammarby,Norrköping,1,2,12 000,"Ivar Carlesson, Stockholm",1924-09-07,1924_1925
Gais,Helsingborg,3,2,6 000,"Erik W. Olsson, Falkenberg",1924-09-07,1924_1925
Örgryte,Landskrona,4,1,5 542,"Erik W. Olsson, Falkenberg",1924-09-14,1924_1925
Västerås IK,Göteborg,1,5,1 500,"Arne Fredriksson, Stockholm",1924-09-14,1924_1925
Norrköping,Hammarby,2,0,1 325,"Ivar Carlesson, Stockholm",1924-09-14,1924_1925
Helsingborg,Sleipner,1,0,2 800,"Carl Christiansson, Helsingborg",1924-09-14,1924_1925
IFK Eskilstuna,Gais,1,2,2 000,"Bertil Norén, Västerås",1924-09-14,1924_1925
AIK,IFK Malmö,6,3,5 000,"Axel Ahlberg, Stockholm",1924-09-14,1924_1925
Västerås IK,Gais,1,1,800,"Thure Håkansson, Stockholm",1924-09-21,1924_1925
Landskrona,IFK Malmö,2,4,1 900,"Carl Christiansson, Helsingborg",1924-09-21,1924_1925
Göteborg,Helsingborg,2,1,6 807,"David Andersson, Göteborg",1924-09-21,1924_1925
Örgryte,Norrköping,3,0,6 395,"Carl Olsson, Göteborg",1924-09-28,1924_1925
IFK Malmö,IFK Eskilstuna,8,3,1 411,"Johan Nilsson, Malmö",1924-09-28,1924_1925
Landskrona,AIK,3,0,2 315,"Astric Sandgren, Malmö",1924-09-28,1924_1925
Helsingborg,Västerås IK,5,0,1 900,"Carl Christiansson, Helsingborg",1924-09-28,1924_1925
Hammarby,Göteborg,0,6,5 000,"Axel Bergqvist, Stockholm",1924-09-28,1924_1925
Sleipner,Västerås IK,2,0,1 400,"Karl Henriksson, Norrköping",1924-10-05,1924_1925
IFK Malmö,Hammarby,3,1,1 345,"Johan Nilsson, Malmö",1924-10-05,1924_1925
Landskrona,Gais,0,0,1 500,"Gustaf Johansson, Malmö",1924-10-05,1924_1925
Göteborg,Norrköping,3,1,7 330,"David Andersson, Göteborg",1924-10-05,1924_1925
IFK Eskilstuna,Örgryte,1,4,2 700,"Birger Carlsson, Gnesta",1924-10-05,1924_1925
AIK,Helsingborg,5,2,6 500,"Axel Bergqvist, Stockholm",1924-10-05,1924_1925
Västerås IK,Landskrona,2,2,700,"Hugo Jacobsson, Västerås",1924-10-12,1924_1925
Sleipner,IFK Malmö,1,1,1 400,"Ernfrid Byman, Norrköping",1924-10-12,1924_1925
Helsingborg,Örgryte,1,1,4 985,"Sigfrid Benzer, Halmstad",1924-10-12,1924_1925
Gais,Hammarby,5,1,6 000,"Erik W. Olsson, Falkenberg",1924-10-12,1924_1925
IFK Eskilstuna,Göteborg,2,8,1 950,"Bertil Norén, Västerås",1924-10-12,1924_1925
AIK,Norrköping,5,0,4 500,"Oscar Gustafsson, Stockholm",1924-10-12,1924_1925
Västerås IK,Sleipner,1,2,1 000,"Hugo Jacobsson, Västerås",1924-10-19,1924_1925
Norrköping,Göteborg,4,1,1 800,"Karl Henriksson, Norrköping",1924-10-19,1924_1925
Helsingborg,AIK,1,0,5 000,"Sigfrid Benzer, Halmstad",1924-10-19,1924_1925
Hammarby,IFK Malmö,1,1,3 000,"Gösta Björk, Stockholm",1924-10-19,1924_1925
Gais,Landskrona,6,0,7 000,"David Andersson, Göteborg",1924-10-19,1924_1925
Örgryte,IFK Eskilstuna,3,2,5 618,"Carl Olsson, Göteborg",1924-10-26,1924_1925
Västerås IK,Hammarby,1,1,675,"Hugo Jacobsson, Västerås",1924-10-26,1924_1925
Norrköping,Helsingborg,0,4,2 000,"Ruben Gelbord, Stockholm",1924-10-26,1924_1925
IFK Malmö,Gais,0,3,2 500,"Gustaf Johansson, Malmö",1924-10-26,1924_1925
Landskrona,Sleipner,1,0,1 500,"Carl Christiansson, Helsingborg",1924-10-26,1924_1925
AIK,Göteborg,3,4,8 500,"Axel Bergqvist, Stockholm",1924-10-26,1924_1925
Sleipner,Göteborg,2,2,2 000,"Ernfrid Byman, Norrköping",1924-11-02,1924_1925
IFK Malmö,Norrköping,4,1,1 500,"Johan Nilsson, Malmö",1924-11-02,1924_1925
Hammarby,Helsingborg,0,6,2 300,"Einar Svensson, Stockholm",1924-11-02,1924_1925
Gais,AIK,2,1,5 000,"David Andersson, Göteborg",1924-11-02,1924_1925
IFK Eskilstuna,Landskrona,5,0,1 500,"Oscar Ternström, Eskilstuna",1924-11-02,1924_1925
Göteborg,IFK Malmö,6,1,5 500,"Arvid Olsson, Göteborg",1924-11-09,1924_1925
Göteborg,Landskrona,6,0,1 000,"David Andersson, Göteborg",1925-04-05,1924_1925
Gais,Västerås IK,4,0,3 600,"Arvid Olsson, Göteborg",1925-04-10,1924_1925
Göteborg,IFK Eskilstuna,2,2,3 578,"David Andersson, Göteborg",1925-04-11,1924_1925
Örgryte,Västerås IK,7,1,3 922,"Carl Simonsson, Göteborg",1925-04-12,1924_1925
Sleipner,AIK,2,1,1 500,"Einar Dusén, Norrköping",1925-04-13,1924_1925
Helsingborg,Norrköping,4,3,2 100,"Carl Christiansson, Helsingborg",1925-04-13,1924_1925
Gais,IFK Eskilstuna,4,0,3 722,"Carl Olsson, Göteborg",1925-04-13,1924_1925
Örgryte,Sleipner,6,1,6 947,"Erik W. Olsson, Falkenberg",1925-04-19,1924_1925
Norrköping,Gais,0,2,1 300,"Karl Henriksson, Norrköping",1925-04-19,1924_1925
IFK Malmö,Helsingborg,1,3,1 923,"Johan Nilsson, Malmö",1925-04-19,1924_1925
Landskrona,Hammarby,2,3,1 200,"Astric Sandgren, Malmö",1925-04-19,1924_1925
AIK,IFK Eskilstuna,6,1,4 000,"Elias Englund, Stockholm",1925-04-19,1924_1925
Norrköping,Västerås IK,0,1,1 100,"Knut Lundstedt, Stockholm",1925-04-26,1924_1925
IFK Malmö,AIK,0,1,2 000,"Johan Nilsson, Malmö",1925-04-26,1924_1925
Helsingborg,Landskrona,1,2,4 000,"Astric Sandgren, Malmö",1925-04-26,1924_1925
Hammarby,Örgryte,2,1,7 000,"Arne Fredriksson, Stockholm",1925-04-26,1924_1925
Gais,Sleipner,4,0,5 212,"Carl Olsson, Göteborg",1925-04-26,1924_1925
Örgryte,IFK Malmö,4,0,3 670,"David Andersson, Göteborg",1925-05-03,1924_1925
Västerås IK,Norrköping,1,2,1 200,"Ivar Carlesson, Stockholm",1925-05-03,1924_1925
Sleipner,Helsingborg,0,2,2 100,"Ernfrid Byman, Norrköping",1925-05-03,1924_1925
Hammarby,Gais,0,5,7 000,"David Carlsson, Stockholm",1925-05-03,1924_1925
IFK Eskilstuna,AIK,2,5,1 900,"Oscar Ternström, Eskilstuna",1925-05-03,1924_1925
Örgryte,Göteborg,0,1,11 046,"Axel Bergqvist, Stockholm",1925-05-08,1924_1925
Västerås IK,Örgryte,1,6,2 300,"Axel Boberg, Västerås",1925-05-10,1924_1925
Norrköping,IFK Malmö,2,1,1 300,"Karl Henriksson, Norrköping",1925-05-10,1924_1925
Landskrona,IFK Eskilstuna,2,2,2 000,"Carl Christiansson, Helsingborg",1925-05-10,1924_1925
Helsingborg,Hammarby,4,1,3 500,"Sigfrid Benzer, Halmstad",1925-05-10,1924_1925
Göteborg,Sleipner,9,1,4 517,"Axel Bergqvist, Stockholm",1925-05-10,1924_1925
AIK,Gais,0,2,12 000,"Ernfrid Byman, Norrköping",1925-05-10,1924_1925
Örgryte,Gais,0,0,10 100,"Anton Lindbergh, Vaggeryd",1925-05-15,1924_1925
Hammarby,Västerås IK,1,3,2 000,"Oscar Gustafsson, Stockholm",1925-05-15,1924_1925
Örgryte,Helsingborg,0,0,4 000,"Anton Lindbergh, Vaggeryd",1925-05-17,1924_1925
Norrköping,AIK,1,0,1 600,"Karl Henriksson, Norrköping",1925-05-17,1924_1925
IFK Malmö,Sleipner,4,1,1 524,"Johan Nilsson, Malmö",1925-05-17,1924_1925
Hammarby,IFK Eskilstuna,0,2,1 200,"Ivar Carlesson, Stockholm",1925-05-17,1924_1925
Landskrona,Norrköping,2,1,1 300,"Astric Sandgren, Malmö",1925-05-21,1924_1925
IFK Eskilstuna,Västerås IK,1,0,1 100,"Ruben Gelbord, Stockholm",1925-05-21,1924_1925
Västerås IK,Helsingborg,0,1,900,"Axel Boberg, Västerås",1925-05-31,1924_1925
Sleipner,Landskrona,2,2,1 450,"Ernfrid Byman, Norrköping",1925-05-31,1924_1925
IFK Eskilstuna,IFK Malmö,2,0,1 200,"Einar Dusén, Norrköping",1925-05-31,1924_1925
Västerås IK,IFK Malmö,2,2,900,"Hugo Jacobsson, Västerås",1925-06-01,1924_1925
Göteborg,Hammarby,8,0,2 846,"David Andersson, Göteborg",1925-06-01,1924_1925
IFK Eskilstuna,Helsingborg,1,1,1 700,"Ruben Gelbord, Stockholm",1925-06-01,1924_1925
AIK,Landskrona,3,1,6 500,"Elias Englund, Stockholm",1925-06-01,1924_1925
Norrköping,Örgryte,0,5,1 150,"Karl Henriksson, Norrköping",1925-06-01,1924_1925
Sleipner,Norrköping,4,0,2 800,"Axel Bergqvist, Stockholm",1925-06-05,1924_1925
Gais,Göteborg,3,4,8 768,"Ernfrid Byman, Norrköping",1925-06-05,1924_1925
AIK,Hammarby,1,0,2 000,"John Bång, Stockholm",1925-06-05,1924_1925
IFK Malmö,Landskrona,0,1,2 000,"Johan Nilsson, Malmö",1925-06-05,1924_1925
Sleipner,Hammarby,6,1,1 300,"John Björkström, Eskilstuna",1925-06-07,1924_1925
Landskrona,Västerås IK,4,0,1 100,"Erik Ohlsson, Malmö",1925-06-07,1924_1925
Helsingborg,Göteborg,2,3,6 000,"Sigfrid Benzer, Halmstad",1925-06-07,1924_1925
Gais,IFK Malmö,6,0,2 000,"Ernfrid Byman, Norrköping",1925-06-07,1924_1925
IFK Eskilstuna,Norrköping,1,1,1 100,"Gösta Björk, Stockholm",1925-06-07,1924_1925
AIK,Örgryte,1,3,5 000,"Gustaf Ekberg, Stockholm",1925-06-07,1924_1925
IFK Uddevalla,Örgryte,2,2,1 084,Erik Svanberg,1925-08-02,1925_1926
IFK Malmö,IFK Eskilstuna,2,3,2 113,Johan Nilsson,1925-08-02,1925_1926
Helsingborg,Sleipner,8,3,2 756,Carl Christiansson,1925-08-02,1925_1926
Gais,Norrköping,1,0,3 498,Carl Olsson,1925-08-02,1925_1926
City,Göteborg,4,4,1 821,Ernfrid Byman,1925-08-02,1925_1926
AIK,Landskrona,6,3,2 931,Gustaf Ekberg,1925-08-02,1925_1926
Landskrona,Helsingborg,0,2,3 469,"Sigfrid Benzer, Halmstad",1925-08-07,1925_1926
Sleipner,Norrköping,1,0,2 550,Ruben Gelbord,1925-08-07,1925_1926
Göteborg,Örgryte,4,3,5 778,Sophus Hansen,1925-08-07,1925_1926
IFK Eskilstuna,City,3,3,2 207,Axel Bergqvist,1925-08-07,1925_1926
Örgryte,IFK Malmö,6,1,3 095,Sophus Hansen,1925-08-09,1925_1926
IFK Uddevalla,City,1,1,1 031,David Andersson,1925-08-09,1925_1926
Sleipner,AIK,0,0,1 765,Ernfrid Byman,1925-08-09,1925_1926
Landskrona,Göteborg,2,4,1 248,Astric Sandgren,1925-08-09,1925_1926
Helsingborg,Norrköping,7,3,3 110,"Sigfrid Benzer, Halmstad",1925-08-09,1925_1926
Örgryte,Gais,4,2,5 760,Carl Olsson,1925-08-14,1925_1926
Helsingborg,IFK Malmö,9,1,2 868,"Sigfrid Benzer, Halmstad",1925-08-14,1925_1926
Norrköping,IFK Eskilstuna,1,3,515,Gustaf Ekberg,1925-08-16,1925_1926
IFK Malmö,Gais,0,4,1 436,Johan Nilsson,1925-08-16,1925_1926
Göteborg,Sleipner,2,0,4 443,David Andersson,1925-08-16,1925_1926
City,Landskrona,1,2,1 514,Rudolf Robinsson,1925-08-16,1925_1926
AIK,Helsingborg,2,5,9 601,Axel Bergqvist,1925-08-16,1925_1926
Gais,Göteborg,1,0,6 661,Axel Bergqvist,1925-08-21,1925_1926
IFK Malmö,Landskrona,0,5,1 508,Johan Nilsson,1925-08-21,1925_1926
Gais,City,5,1,5 239,Axel Bergqvist,1925-08-23,1925_1926
Sleipner,Landskrona,1,6,1 502,Ruben Gelbord,1925-08-23,1925_1926
IFK Eskilstuna,IFK Uddevalla,3,3,1 648,John Björkström,1925-08-23,1925_1926
Örgryte,AIK,3,0,9 461,Carl Olsson,1925-08-30,1925_1926
IFK Uddevalla,Göteborg,0,0,1 805,Axel Bengtsson,1925-08-30,1925_1926
Norrköping,IFK Malmö,5,1,539,Rudolf Robinsson,1925-08-30,1925_1926
Landskrona,IFK Eskilstuna,3,1,1 499,Johan Nilsson,1925-08-30,1925_1926
Helsingborg,Gais,2,0,6 744,Ruben Gelbord,1925-08-30,1925_1926
City,Sleipner,0,2,1 581,Bertil Norén,1925-08-30,1925_1926
Sleipner,IFK Uddevalla,3,3,1 810,Ernfrid Byman,1925-09-06,1925_1926
IFK Malmö,AIK,2,2,1 210,Johan Nilsson,1925-09-06,1925_1926
Landskrona,Gais,0,1,1 651,Carl Christiansson,1925-09-06,1925_1926
Göteborg,Helsingborg,2,2,17 163,Axel Bergqvist,1925-09-06,1925_1926
IFK Eskilstuna,Örgryte,3,5,2 304,Thure Håkansson,1925-09-06,1925_1926
IFK Uddevalla,IFK Malmö,3,0,1 037,Knut Holmgren,1925-09-13,1925_1926
Norrköping,Göteborg,1,6,2 379,Ernst Albihn,1925-09-13,1925_1926
Gais,Sleipner,3,2,4 742,Carl Olsson,1925-09-13,1925_1926
City,Örgryte,1,3,2 511,Ernfrid Byman,1925-09-13,1925_1926
AIK,IFK Eskilstuna,1,0,4 065,Thure Boderus,1925-09-13,1925_1926
Örgryte,Landskrona,6,3,1 629,David Andersson,1925-09-20,1925_1926
IFK Malmö,City,3,3,1 324,Johan Nilsson,1925-09-20,1925_1926
Helsingborg,IFK Uddevalla,2,0,3 968,Sophus Hansen,1925-09-20,1925_1926
IFK Eskilstuna,Gais,0,3,2 012,John Björkström,1925-09-20,1925_1926
City,Helsingborg,0,4,2 285,Axel Bergqvist,1925-09-27,1925_1926
Sleipner,IFK Eskilstuna,0,1,1 743,Thure Håkansson,1925-09-27,1925_1926
Landskrona,Norrköping,4,1,1 493,"Sigfrid Benzer, Halmstad",1925-09-27,1925_1926
Göteborg,IFK Malmö,5,1,4 428,Carl Olsson,1925-09-27,1925_1926
AIK,Gais,3,1,8 911,Gustaf Ekberg,1925-09-27,1925_1926
Gais,IFK Uddevalla,1,0,8 370,"Sigfrid Benzer, Halmstad",1925-10-04,1925_1926
IFK Malmö,Sleipner,1,0,1 109,Johan Nilsson,1925-10-04,1925_1926
Helsingborg,Örgryte,0,1,10 633,Axel Bergqvist,1925-10-04,1925_1926
IFK Eskilstuna,Göteborg,1,4,1 950,Axel Boberg,1925-10-04,1925_1926
Norrköping,City,4,3,602,Arthur Björklund,1925-10-04,1925_1926
Örgryte,Sleipner,2,1,6 261,Carl Olsson,1925-10-11,1925_1926
IFK Eskilstuna,Helsingborg,2,6,2 169,Gustaf Ekberg,1925-10-11,1925_1926
IFK Uddevalla,Landskrona,3,3,1 211,"Sigfrid Benzer, Halmstad",1925-10-11,1925_1926
AIK,Norrköping,5,3,4 320,Thure Boderus,1925-10-11,1925_1926
Landskrona,Örgryte,2,6,1 752,Johan Nilsson,1925-10-18,1925_1926
City,IFK Uddevalla,2,4,1 261,Gustaf Ekberg,1925-10-18,1925_1926
Norrköping,Gais,1,5,1 029,Rudolf Robinsson,1925-10-18,1925_1926
Helsingborg,IFK Eskilstuna,4,1,2 347,Carl Christiansson,1925-10-18,1925_1926
Göteborg,AIK,3,0,10 913,David Andersson,1925-10-18,1925_1926
IFK Uddevalla,Helsingborg,1,2,3 230,Carl Olsson,1925-10-25,1925_1926
Sleipner,Örgryte,0,3,2 841,Axel Bergqvist,1925-10-25,1925_1926
IFK Malmö,Göteborg,0,0,4 226,Johan Nilsson,1925-10-25,1925_1926
Gais,Landskrona,4,0,4 511,"Sigfrid Benzer, Halmstad",1925-10-25,1925_1926
IFK Eskilstuna,Norrköping,3,2,1 324,Bertil Norén,1925-10-25,1925_1926
AIK,City,4,3,2 514,Gustaf Ekberg,1925-10-25,1925_1926
Örgryte,IFK Eskilstuna,1,2,3 108,Carl Olsson,1925-11-01,1925_1926
City,IFK Malmö,0,3,1 565,Axel Bergqvist,1925-11-01,1925_1926
Norrköping,AIK,3,2,3 315,Karl Henriksson,1925-11-01,1925_1926
Göteborg,IFK Eskilstuna,8,2,3 079,David Andersson,1926-04-02,1925_1926
Gais,IFK Eskilstuna,4,1,3 341,Carl Olsson,1926-04-04,1925_1926
Örgryte,Norrköping,3,0,4 774,Osborn Wenzel,1926-04-05,1925_1926
Landskrona,IFK Uddevalla,5,0,1 752,Carl Christiansson,1926-04-05,1925_1926
Sleipner,Helsingborg,2,5,3 482,Axel Bergqvist,1926-04-11,1925_1926
Örgryte,City,5,1,4 275,Carl Olsson,1926-04-11,1925_1926
IFK Uddevalla,AIK,2,1,1 896,Osborn Wenzel,1926-04-11,1925_1926
Sleipner,Gais,0,6,2 513,Gustaf Ekberg,1926-04-18,1925_1926
IFK Malmö,IFK Uddevalla,5,0,1 886,Johan Nilsson,1926-04-18,1925_1926
Göteborg,Norrköping,1,1,5 364,David Andersson,1926-04-18,1925_1926
IFK Eskilstuna,Landskrona,3,3,1 524,John Björkström,1926-04-18,1925_1926
AIK,Örgryte,3,3,7 671,Axel Bergqvist,1926-04-18,1925_1926
IFK Uddevalla,Sleipner,1,4,911,Osborn Wenzel,1926-04-25,1925_1926
Norrköping,Landskrona,6,1,1 804,Ruben Gelbord,1926-04-25,1925_1926
Helsingborg,AIK,3,2,5 809,Arthur Björklund,1926-04-25,1925_1926
Gais,IFK Malmö,5,1,5 017,Carl Olsson,1926-04-25,1925_1926
City,IFK Eskilstuna,4,3,2 445,Axel Bergqvist,1926-04-25,1925_1926
Göteborg,Gais,1,1,6 161,Axel Bergqvist,1926-04-30,1925_1926
Örgryte,Helsingborg,2,2,20 533,Axel Bergqvist,1926-05-02,1925_1926
Sleipner,City,4,0,2 452,Knut Lundstedt,1926-05-02,1925_1926
IFK Eskilstuna,IFK Malmö,0,0,2 128,Ruben Gelbord,1926-05-02,1925_1926
AIK,IFK Uddevalla,0,0,5 476,Gustaf Ekberg,1926-05-02,1925_1926
Göteborg,IFK Uddevalla,2,1,3 108,Osborn Wenzel,1926-05-05,1925_1926
Helsingborg,Landskrona,6,1,5 327,Johan Nilsson,1926-05-05,1925_1926
Gais,Örgryte,2,2,4 606,Carl Olsson,1926-05-07,1925_1926
IFK Uddevalla,Gais,2,1,1 944,"Sigfrid Benzer, Halmstad",1926-05-09,1925_1926
Norrköping,Örgryte,0,5,1 751,Gustaf Ekberg,1926-05-09,1925_1926
IFK Malmö,Helsingborg,1,0,4 530,Axel Bergqvist,1926-05-09,1925_1926
Landskrona,AIK,2,2,1 959,Carl Christiansson,1926-05-09,1925_1926
Göteborg,City,6,0,2 905,David Andersson,1926-05-09,1925_1926
IFK Eskilstuna,Sleipner,1,3,2 002,Ruben Gelbord,1926-05-09,1925_1926
Landskrona,Sleipner,2,7,1 525,Otto Ohlsson,1926-05-13,1925_1926
City,Norrköping,3,4,1 498,Bertil Norén,1926-05-13,1925_1926
AIK,Göteborg,3,1,15 450,Axel Bergqvist,1926-05-13,1925_1926
Gais,Helsingborg,5,0,15 520,Ernfrid Byman,1926-05-13,1925_1926
Örgryte,IFK Uddevalla,3,2,6 487,Carl Olsson,1926-05-16,1925_1926
IFK Malmö,Norrköping,1,2,2 153,"Sigfrid Benzer, Halmstad",1926-05-16,1925_1926
Helsingborg,City,5,1,3 793,Carl Christiansson,1926-05-16,1925_1926
IFK Eskilstuna,AIK,1,1,2 448,John Björkström,1926-05-16,1925_1926
Sleipner,Göteborg,0,3,3 729,David Spångberg,1926-05-16,1925_1926
Landskrona,IFK Malmö,2,2,2 068,Carl Christiansson,1926-05-21,1925_1926
Norrköping,Sleipner,2,1,4 059,Rudolf Robinsson,1926-05-21,1925_1926
City,AIK,0,3,1 969,Axel Öberg,1926-05-23,1925_1926
Norrköping,IFK Uddevalla,5,0,1 519,Ruben Gelbord,1926-05-24,1925_1926
AIK,IFK Malmö,3,3,5 967,Gustaf Ekberg,1926-05-24,1925_1926
IFK Uddevalla,Norrköping,1,1,1 484,Erik Svanberg,1926-05-30,1925_1926
Sleipner,IFK Malmö,3,1,2 843,Knut Lundstedt,1926-05-30,1925_1926
Landskrona,City,5,1,1 275,Astric Sandgren,1926-05-30,1925_1926
Helsingborg,Göteborg,1,4,8 569,Ruben Gelbord,1926-05-30,1925_1926
Gais,AIK,6,0,5 537,Carl Olsson,1926-05-30,1925_1926
Örgryte,Göteborg,1,1,10 394,Axel Bergqvist,1926-06-04,1925_1926
IFK Uddevalla,IFK Eskilstuna,2,3,1 248,Osborn Wenzel,1926-06-06,1925_1926
Norrköping,Helsingborg,2,0,1 674,Elias Englund,1926-06-06,1925_1926
IFK Malmö,Örgryte,1,6,3 408,"Sigfrid Benzer, Halmstad",1926-06-06,1925_1926
Göteborg,Landskrona,4,2,3 126,David Andersson,1926-06-06,1925_1926
City,Gais,0,6,1 551,Hugo Jacobsson,1926-06-06,1925_1926
AIK,Sleipner,2,3,2 083,Axel Bergqvist,1926-06-06,1925_1926
IFK Uddevalla,IFK Eskilstuna,1,7,984,Sam Hessel,1926-08-01,1926_1927
Norrköping,Gais,0,3,1 717,Gustaf Ekberg,1926-08-01,1926_1927
Helsingborg,Westermalm,7,0,4 720,"Sigfrid Benzer, Halmstad",1926-08-01,1926_1927
Göteborg,Landskrona,4,2,5 494,Axel Larsson,1926-08-01,1926_1927
Elfsborg,Örgryte,0,1,3 887,Axel Bergqvist,1926-08-01,1926_1927
AIK,Sleipner,2,1,3 620,Ernfrid Byman,1926-08-01,1926_1927
Göteborg,Örgryte,3,2,7 770,Otto Ohlsson,1926-08-06,1926_1927
Örgryte,AIK,2,1,6 261,Otto Ohlsson,1926-08-08,1926_1927
Westermalm,IFK Uddevalla,4,1,3 197,Ernfrid Byman,1926-08-08,1926_1927
Sleipner,Helsingborg,2,0,2 837,Ruben Gelbord,1926-08-08,1926_1927
Landskrona,Elfsborg,2,2,1 647,Rudolf Börjesson,1926-08-08,1926_1927
IFK Eskilstuna,Norrköping,3,3,1 535,"Sigfrid Benzer, Halmstad",1926-08-08,1926_1927
Örgryte,Gais,2,3,6 362,NA,1926-08-13,1926_1927
Norrköping,Sleipner,3,1,3 757,"Sigfrid Benzer, Halmstad",1926-08-15,1926_1927
Helsingborg,Göteborg,4,2,5 738,Axel Bergqvist,1926-08-15,1926_1927
Gais,IFK Uddevalla,6,0,5 677,Ernfrid Byman,1926-08-15,1926_1927
Elfsborg,Westermalm,5,1,2 968,David Andersson,1926-08-15,1926_1927
AIK,IFK Eskilstuna,2,1,5 339,Sam Hessel,1926-08-15,1926_1927
Westermalm,AIK,1,0,6 503,Gustaf Ekberg,1926-08-20,1926_1927
Gais,Göteborg,1,1,9 020,Axel Bergqvist,1926-08-20,1926_1927
Sleipner,Elfsborg,2,1,2 463,Knut Lundstedt,1926-08-22,1926_1927
Landskrona,Helsingborg,1,2,5 653,Gustaf Ekberg,1926-08-22,1926_1927
Göteborg,Norrköping,4,0,6 020,Axel Bergqvist,1926-08-22,1926_1927
IFK Eskilstuna,Örgryte,1,2,3 171,Ruben Gelbord,1926-08-22,1926_1927
Gais,Elfsborg,7,0,4 555,Ragnar Bäckström,1926-08-25,1926_1927
Örgryte,Westermalm,4,1,7 010,Axel Larsson,1926-08-29,1926_1927
Sleipner,IFK Eskilstuna,8,2,2 726,Elias Englund,1926-08-29,1926_1927
Landskrona,Norrköping,1,2,1 722,"Sigfrid Benzer, Halmstad",1926-08-29,1926_1927
Helsingborg,IFK Uddevalla,1,0,4 686,Carl Olsson,1926-08-29,1926_1927
AIK,Göteborg,2,3,8 749,Ernfrid Byman,1926-08-29,1926_1927
IFK Uddevalla,Göteborg,1,2,2 116,Sam Hessel,1926-09-05,1926_1927
Norrköping,Örgryte,3,4,2 149,Gustaf Ekberg,1926-09-05,1926_1927
Gais,Sleipner,2,1,6 373,Knut Lundstedt,1926-09-05,1926_1927
IFK Eskilstuna,Westermalm,4,1,2 142,Ernfrid Byman,1926-09-05,1926_1927
Elfsborg,Helsingborg,1,4,3 933,Carl Olsson,1926-09-05,1926_1927
AIK,Landskrona,4,0,1 305,Einar Bodlund,1926-09-05,1926_1927
Westermalm,Sleipner,2,3,1 285,John Björkström,1926-09-12,1926_1927
